[16621, 21745]
vector dimension: 8363

preprocess finished.

Epoch: 1,	Loss: 157.98268127441406

Epoch: 50,	Loss: 117.63648986816406

Epoch: 100,	Loss: 92.85310363769531

Epoch: 150,	Loss: 76.39179229736328

Epoch: 200,	Loss: 62.492401123046875

Epoch: 250,	Loss: 57.802371978759766

Epoch: 300,	Loss: 56.140228271484375

Epoch: 350,	Loss: 54.96577835083008

Epoch: 400,	Loss: 52.895687103271484

Epoch: 450,	Loss: 52.44689178466797

Epoch: 500,	Loss: 51.776092529296875

Epoch: 550,	Loss: 50.24924850463867

Epoch: 600,	Loss: 50.06956481933594

Epoch: 650,	Loss: 49.35254669189453

Epoch: 700,	Loss: 48.0523681640625

Epoch: 750,	Loss: 44.23932647705078

Epoch: 800,	Loss: 43.701927185058594

Epoch: 850,	Loss: 42.40082931518555

Epoch: 900,	Loss: 42.10801696777344

Epoch: 950,	Loss: 36.08132553100586

Epoch: 1000,	Loss: 35.609100341796875

Epoch: 1050,	Loss: 35.200286865234375

Epoch: 1100,	Loss: 35.15660095214844

Epoch: 1150,	Loss: 35.04856872558594

Epoch: 1200,	Loss: 35.05287551879883

Epoch: 1250,	Loss: 34.22046661376953

Epoch: 1300,	Loss: 34.074825286865234

Epoch: 1350,	Loss: 31.61431312561035

Epoch: 1400,	Loss: 30.790796279907227

Epoch: 1450,	Loss: 30.479585647583008

Epoch: 1500,	Loss: 30.400850296020508

Epoch: 1550,	Loss: 30.37794303894043

Epoch: 1600,	Loss: 25.732973098754883

Epoch: 1650,	Loss: 20.941261291503906

Epoch: 1700,	Loss: 20.8786678314209

Epoch: 1750,	Loss: 22.614246368408203

Epoch: 1800,	Loss: 20.906349182128906

Epoch: 1850,	Loss: 20.6755428314209

Epoch: 1900,	Loss: 20.287290573120117

Epoch: 1950,	Loss: 20.17989158630371

Epoch: 2000,	Loss: 20.197093963623047

Best Epoch: 1943,	Loss: 20.178743362426758

train finished.
	error rate: 0.26

test finished.
