[16621, 33242]
vector dimension: 8521

preprocess finished.

Epoch: 1,	Loss: 110.98357391357422

Epoch: 50,	Loss: 81.77745819091797

Epoch: 100,	Loss: 61.394744873046875

Epoch: 150,	Loss: 47.73045349121094

Epoch: 200,	Loss: 40.96591567993164

Epoch: 250,	Loss: 37.394805908203125

Epoch: 300,	Loss: 32.98386001586914

Epoch: 350,	Loss: 30.638431549072266

Epoch: 400,	Loss: 28.373519897460938

Epoch: 450,	Loss: 25.4569034576416

Epoch: 500,	Loss: 23.70054054260254

Epoch: 550,	Loss: 22.62178611755371

Epoch: 600,	Loss: 22.1357421875

Epoch: 650,	Loss: 20.96625518798828

Epoch: 700,	Loss: 20.616046905517578

Epoch: 750,	Loss: 18.32468032836914

Epoch: 800,	Loss: 16.418521881103516

Epoch: 850,	Loss: 15.13027572631836

Epoch: 900,	Loss: 13.821577072143555

Epoch: 950,	Loss: 13.02647876739502

Epoch: 1000,	Loss: 12.443910598754883

Epoch: 1050,	Loss: 10.634844779968262

Epoch: 1100,	Loss: 9.97614860534668

Epoch: 1150,	Loss: 9.334816932678223

Epoch: 1200,	Loss: 7.296858310699463

Epoch: 1250,	Loss: 7.253459930419922

Epoch: 1300,	Loss: 7.5913987159729

Epoch: 1350,	Loss: 7.590135097503662

Epoch: 1400,	Loss: 7.5359697341918945

Epoch: 1450,	Loss: 7.513304233551025

Epoch: 1500,	Loss: 6.94577169418335

Epoch: 1550,	Loss: 7.095130920410156

Epoch: 1600,	Loss: 6.743957042694092

Epoch: 1650,	Loss: 6.397943496704102

Epoch: 1700,	Loss: 5.308958530426025

Epoch: 1750,	Loss: 5.204161167144775

Epoch: 1800,	Loss: 5.20868444442749

Epoch: 1850,	Loss: 5.200839996337891

Epoch: 1900,	Loss: 5.146969318389893

Epoch: 1950,	Loss: 5.191932201385498

Epoch: 2000,	Loss: 5.220576286315918

Best Epoch: 1899,	Loss: 5.1464996337890625

train finished.
	error rate: 0.16

test finished.
