[16621, 22053]
vector dimension: 8

preprocess finished.

Epoch: 1,	Loss: 68.35845184326172

Epoch: 50,	Loss: 49.941829681396484

Epoch: 100,	Loss: 34.790279388427734

Epoch: 150,	Loss: 19.378337860107422

Epoch: 200,	Loss: 17.377687454223633

Epoch: 250,	Loss: 16.358871459960938

Epoch: 300,	Loss: 12.546915054321289

Epoch: 350,	Loss: 9.800396919250488

Epoch: 400,	Loss: 6.585758686065674

Epoch: 450,	Loss: 3.6484386920928955

Epoch: 500,	Loss: 1.7376362085342407

Epoch: 550,	Loss: 2.5708038806915283

Epoch: 600,	Loss: 2.8716444969177246

Epoch: 650,	Loss: 1.3432869911193848

Epoch: 700,	Loss: 1.0036118030548096

Epoch: 750,	Loss: 1.6237739324569702

Epoch: 800,	Loss: 2.7111058235168457

Epoch: 850,	Loss: 2.293714761734009

Epoch: 900,	Loss: 4.450254440307617

Epoch: 950,	Loss: 10.240484237670898

Epoch: 1000,	Loss: 8.434659957885742

Epoch: 1050,	Loss: 3.162397623062134

Epoch: 1100,	Loss: 2.5354785919189453

Epoch: 1150,	Loss: 1.5051357746124268

Epoch: 1200,	Loss: 2.5833349227905273

Epoch: 1250,	Loss: 2.8858768939971924

Epoch: 1300,	Loss: 4.488337993621826

Epoch: 1350,	Loss: 7.914193153381348

Epoch: 1400,	Loss: 5.763370513916016

Epoch: 1450,	Loss: 12.548117637634277

Epoch: 1500,	Loss: 9.203195571899414

Epoch: 1550,	Loss: 10.414286613464355

Epoch: 1600,	Loss: 8.05742359161377

Epoch: 1650,	Loss: 3.075284004211426

Epoch: 1700,	Loss: 2.470621109008789

Epoch: 1750,	Loss: 1.9018239974975586

Epoch: 1800,	Loss: 1.786632776260376

Epoch: 1850,	Loss: 3.564509391784668

Epoch: 1900,	Loss: 2.6397764682769775

Epoch: 1950,	Loss: 2.4806981086730957

Epoch: 2000,	Loss: 2.480358123779297

Best Epoch: 686,	Loss: 0.9941914081573486

train finished.
	error rate: 0.08

test finished.
